id,current_product_id,related_product_id
1,1,2
2,1,3
3,1,8
4,1,7
5,2,3
6,2,7
7,2,6
8,2,5
9,3,5
10,3,9
11,3,7
12,3,2
13,3,1
14,4,1
15,4,2
16,4,4
17,4,5
18,4,8
19,5,6
20,5,6
21,5,8
22,5,9
23,5,1
24,5,3
25,6,6
26,6,2
27,6,5
28,6,3
29,6,2
30,7,1
31,7,2
32,7,3
33,7,4
34,7,5
35,7,6
36,7,7
37,7,8
38,7,9
39,8,2
40,8,3
41,8,4
42,8,7
43,8,9
44,8,10
45,9,1
46,9,2
47,9,6
48,9,7
49,9,5
50,9,8
51,12,5
52,12,11
53,12,1
54,12,9
55,12,7
56,12,3
57,13,9
58,13,10
59,13,11
60,13,9
61,14,4
62,14,9
63,14,2
64,14,1
65,14,10
66,15,8
67,15,12
68,15,7
69,16,7
70,16,5
71,16,14
72,17,7
73,17,5
74,17,3
75,17,6
76,17,4
77,17,16
78,18,16
79,18,3
80,18,14
81,18,4
82,18,7
83,19,2
84,19,16
85,19,5
86,19,16
87,19,18
88,20,12
89,20,16
90,20,6
91,20,15
92,20,11
93,21,1
94,21,13
95,21,8
96,21,2
97,21,19
98,22,4
99,22,20
100,22,17
101,22,1
102,23,0
103,23,2
104,23,15
105,24,9
106,24,1
107,24,22
108,24,20
109,24,13
110,25,21
111,25,23
112,25,5
113,25,2
114,26,13
115,26,18
116,26,19
117,26,15
118,26,21
119,26,5
120,27,0
121,27,4
122,27,8
123,28,27
124,28,19
125,28,26
126,28,0
127,29,16
128,29,19
129,29,18
130,30,2
131,30,23
132,30,19
133,31,6
134,31,16
135,31,30
136,31,15
137,31,25
138,32,31
139,32,5
140,32,16
141,32,20
142,33,23
143,33,1
144,33,14
145,34,1
146,34,7
147,34,33
148,34,21
149,35,13
150,35,9
151,35,19
152,35,27
153,36,20
154,36,26
155,36,25
156,36,13
157,36,15
158,36,20
159,37,2
160,37,12
161,37,12
162,37,8
163,38,25
164,38,7
165,38,25
166,39,35
167,39,5
168,39,36
169,39,36
170,39,25
171,39,0
172,40,36
173,40,26
174,40,10
175,40,23
176,40,32
177,41,31
178,41,28
179,41,20
180,41,20
181,42,32
182,42,9
183,42,15
184,42,14
185,42,37
186,43,42
187,43,39
188,43,25
189,43,42
190,44,10
191,44,1
192,44,23
193,44,31
194,44,21
195,44,2
196,45,15
197,45,34
198,45,39
199,45,18
200,46,0
201,46,10
202,46,29
203,46,32
204,46,8
205,46,41
206,47,5
207,47,40
208,47,19
209,47,19
210,47,35
211,48,41
212,48,17
213,48,44
214,48,2
215,48,43
216,49,4
217,49,18
218,49,0
219,49,16
220,50,12
221,50,36
222,50,21
223,50,7
224,50,46
225,50,41
226,51,44
227,51,34
228,51,11
229,51,38
230,51,50
231,52,35
232,52,20
233,52,23
234,52,24
235,52,40
236,53,0
237,53,0
238,53,42
239,53,19
240,54,48
241,54,31
242,54,9
243,54,50
244,54,1
245,55,26
246,55,31
247,55,31
248,55,2
249,56,3
250,56,14
251,56,44
252,56,45
253,56,16
254,57,46
255,57,47
256,57,5
257,57,4
258,57,35
259,57,24
260,58,23
261,58,28
262,58,38
263,58,7
264,58,33
265,58,45
266,59,15
267,59,52
268,59,25
269,59,41
270,59,16
271,60,47
272,60,38
273,60,33
274,61,59
275,61,28
276,61,41
277,61,28
278,62,15
279,62,25
280,62,14
281,62,20
282,62,19
283,63,34
284,63,14
285,63,46
286,64,15
287,64,51
288,64,37
289,65,38
290,65,21
291,65,32
292,66,9
293,66,40
294,66,7
295,66,39
296,66,61
297,67,48
298,67,35
299,67,65
300,68,48
301,68,59
302,68,27
303,69,53
304,69,38
305,69,6
306,70,9
307,70,24
308,70,34
309,70,5
310,70,37
311,70,0
312,71,46
313,71,62
314,71,44
315,71,21
316,71,24
317,72,24
318,72,24
319,72,43
320,72,11
321,73,25
322,73,60
323,73,2
324,73,2
325,74,26
326,74,16
327,74,56
328,74,66
329,74,8
330,74,57
331,75,32
332,75,12
333,75,19
334,75,34
335,76,61
336,76,31
337,76,59
338,77,23
339,77,30
340,77,8
341,77,20
342,77,69
343,78,73
344,78,73
345,78,46
346,78,60
347,78,65
348,78,54
349,79,47
350,79,76
351,79,26
352,79,44
353,79,68
354,79,60
355,80,18
356,80,38
357,80,52
358,80,64
359,80,25
360,81,1
361,81,60
362,81,69
363,81,73
